text,sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized
"I need a loan to study engineering. I am an SC student, my income is ₹183249, and the course fee is ₹2123656.",Yes,183249,Education,NA,2123656,206123,Graduate,engineering,medical,Yes
I belong to the SC category. I want an education loan for pharmacy. My annual family income is 390033 rupees and I need around 914218 rupees.,Yes,390033,Education,NA,914218,914218,12th,pharmacy,medical,Yes
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is Rs 371755 and I require ₹1189597.,Yes,371755,Education,NA,1189597,1189597,Postgraduate,MCA,management,Yes
I am an SC student and my family income is Rs 299424. I want to study BCA. My course fee is 30.5 lakhs and I need a loan of 30.2 lakh.,Yes,299424,Education,NA,3049340,3024958,12th,BCA,management,Yes
I am an SC student and my family income is 324526 rupees. I want to study engineering. My course fee is 34.6 lakhs and I need a loan of 33.7 lakhs.,Yes,324526,Education,NA,3456694,3368726,Graduate,engineering,medical,Yes
"My family earns 342016 rupees per year. I am an SC beneficiary and want to pursue medical, which is a medical course. The fee is 24.4 lakhs.",Yes,342016,Education,NA,2435093,2435093,Postgraduate,medical,medical,Yes
I am from SC category and want financial help for my poultry. The total project cost is 4.1 lakhs and I need Rs 344120 as loan. My annual income is ₹497021.,Yes,497021,Business,poultry,411088,344120,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small small manufacturing. My income is 344172 rupees and the project will cost about 2.9 lakh.,Yes,344172,Business,small manufacturing,292386,261156,NA,NA,NA,NA
"My family earns ₹346652 per year. I am an SC beneficiary and want to pursue medical, which is a medical course. The fee is 1.3 lakh.",Yes,346652,Education,NA,134692,134692,Graduate,medical,medical,Yes
I belong to Scheduled Caste and want to start a small food business. My income is 5.0 lakhs and the project will cost about Rs 237869.,Yes,498299,Business,food business,237869,189951,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹278141. I want to start a poultry business and need a loan of Rs 223094.,Yes,278141,Business,poultry,319682,223094,NA,NA,NA,NA
I am an SC beneficiary. My family income is 1.1 lakh. I want to start a tailoring business and need a loan of ₹441300.,Yes,110990,Business,tailoring,486916,441300,NA,NA,NA,NA
I do not belong to the SC category. My family income is 183538 rupees and I need a loan for a computer centre.,No,183538,Business,computer centre,130726,80726,NA,NA,NA,NA
I belong to the SC category. I want an education loan for BTech. My annual family income is ₹125245 and I need around 554679 rupees.,Yes,125245,Education,NA,554679,554679,Postgraduate,BTech,management,Yes
My family earns around Rs 443350 per year. I belong to the SC community and want to start a computer centre. I need around Rs 320706.,Yes,443350,Business,computer centre,338019,320706,NA,NA,NA,NA
I am from SC category and want financial help for my tailoring. The total project cost is 5.2 lakhs and I need 438221 rupees as loan. My annual income is ₹143670.,Yes,143670,Business,tailoring,524847,438221,NA,NA,NA,NA
I am an SC beneficiary. My family income is 2.8 lakhs. I want to start a grocery shop business and need a loan of 3.5 lakhs.,Yes,281579,Business,grocery shop,439930,347647,NA,NA,NA,NA
"My family earns Rs 345978 per year. I am an SC beneficiary and want to pursue MCA, which is a medical course. The fee is 2.3 lakh.",Yes,345978,Education,NA,231640,231640,12th,MCA,medical,Yes
I belong to the SC category. I want an education loan for engineering. My annual family income is 1.9 lakhs and I need around 12.0 lakh.,Yes,187604,Education,NA,3458883,1203876,12th,engineering,professional,Yes
I am from SC category and want financial help for my food business. The total project cost is ₹229032 and I need 1.9 lakh as loan. My annual income is 2.4 lakh.,Yes,243519,Business,food business,229032,192197,NA,NA,NA,NA
My family earns around ₹106078 per year. I belong to the SC community and want to start a tailoring. I need around 126099 rupees.,Yes,106078,Business,tailoring,218429,126099,NA,NA,NA,NA
I want to open a grocery shop. I am an SC beneficiary and my yearly family income is Rs 250522. I require about 203957 rupees.,Yes,250522,Business,grocery shop,273421,203957,NA,NA,NA,NA
I am an SC student and my family income is Rs 251686. I want to study BCA. My course fee is 9.8 lakhs and I need a loan of Rs 977420.,Yes,251686,Education,NA,977420,977420,Postgraduate,BCA,medical,Yes
My family earns around ₹189441 per year. I belong to the SC community and want to start a computer centre. I need around 346679 rupees.,Yes,189441,Business,computer centre,441732,346679,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is 1.4 lakhs and I require Rs 1314906.,Yes,137959,Education,NA,2767431,1314906,Postgraduate,engineering,professional,Yes
I belong to Scheduled Caste and want to start a small poultry. My income is 476543 rupees and the project will cost about ₹111780.,Yes,476543,Business,poultry,111780,90039,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is 324361 rupees and I require 518101 rupees.,Yes,324361,Education,NA,518101,518101,Postgraduate,engineering,technical,Yes
My category is not SC. I want to start a service business business.,No,277469,Business,service business,152081,102081,NA,NA,NA,NA
I am from SC category and want financial help for my service business. The total project cost is ₹220046 and I need 1.7 lakh as loan. My annual income is ₹86257.,Yes,86257,Business,service business,220046,165630,NA,NA,NA,NA
I am from SC category and want financial help for my service business. The total project cost is ₹188726 and I need 1.7 lakh as loan. My annual income is 485831 rupees.,Yes,485831,Business,service business,188726,169390,NA,NA,NA,NA
"I need a loan to study engineering. I am an SC student, my income is Rs 219347, and the course fee is 28.9 lakhs.",Yes,219347,Education,NA,2892360,621145,Graduate,engineering,management,Yes
"I need a loan to study MCA. I am an SC student, my income is Rs 411427, and the course fee is 1315832 rupees.",Yes,411427,Education,NA,1315832,1315832,Postgraduate,MCA,management,Yes
"My family earns Rs 157498 per year. I am an SC beneficiary and want to pursue pharmacy, which is a medical course. The fee is Rs 644046.",Yes,157498,Education,NA,644046,644046,Postgraduate,pharmacy,medical,Yes
I am from SC category and want financial help for my tailoring. The total project cost is 354353 rupees and I need 3.0 lakh as loan. My annual income is Rs 241652.,Yes,241652,Business,tailoring,354353,304045,NA,NA,NA,NA
I am an SC beneficiary. My family income is Rs 427158. I want to start a grocery shop business and need a loan of Rs 366737.,Yes,427158,Business,grocery shop,449520,366737,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹327815. I want to start a service business business and need a loan of 1.8 lakhs.,Yes,327815,Business,service business,249393,177400,NA,NA,NA,NA
I am an SC beneficiary. My family income is 311535 rupees. I want to start a tailoring business and need a loan of ₹341458.,Yes,311535,Business,tailoring,440427,341458,NA,NA,NA,NA
I am an SC student and my family income is ₹107157. I want to study pharmacy. My course fee is ₹2851256 and I need a loan of Rs 893599.,Yes,107157,Education,NA,2851256,893599,Graduate,pharmacy,management,Yes
I do not belong to the SC category. My family income is 1.6 lakh and I need a loan for a fisheries.,No,158050,Business,fisheries,258766,208766,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is Rs 411308 and I require ₹926592.,Yes,411308,Education,NA,926592,926592,Postgraduate,engineering,management,Yes
I belong to Scheduled Caste and want to start a small poultry. My income is Rs 385198 and the project will cost about 2.9 lakh.,Yes,385198,Business,poultry,291849,266665,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is ₹107025 and I require 204531 rupees.,Yes,107025,Education,NA,204531,204531,Postgraduate,MCA,professional,Yes
I belong to the SC category. I want an education loan for nursing. My annual family income is 2.6 lakh and I need around Rs 1197924.,Yes,256638,Education,NA,3058888,1197924,Graduate,nursing,professional,Yes
I am an SC beneficiary. My family income is Rs 375125. I want to start a poultry business and need a loan of 339618 rupees.,Yes,375125,Business,poultry,371354,339618,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹495964. I want to start a small manufacturing business and need a loan of ₹351409.,Yes,495964,Business,small manufacturing,394195,351409,NA,NA,NA,NA
I belong to the SC category. I want an education loan for BCA. My annual family income is Rs 382314 and I need around ₹961951.,Yes,382314,Education,NA,961951,961951,Postgraduate,BCA,technical,Yes
"I need a loan to study BTech. I am an SC student, my income is 1.7 lakh, and the course fee is 10.7 lakhs.",Yes,171453,Education,NA,1072025,892569,12th,BTech,technical,Yes
My family earns around Rs 428574 per year. I belong to the SC community and want to start a grocery shop. I need around 2.7 lakhs.,Yes,428574,Business,grocery shop,349439,273646,NA,NA,NA,NA
I am an SC student and my family income is Rs 215466. I want to study medical. My course fee is 37.9 lakhs and I need a loan of 22.5 lakhs.,Yes,215466,Education,NA,3790341,2251657,12th,medical,professional,Yes
I am not an SC beneficiary. I want to start a food business and need Rs 199794.,No,86047,Business,food business,249794,199794,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a tailoring and need 3.6 lakh.,No,273819,Business,tailoring,412302,362302,NA,NA,NA,NA
My family earns around Rs 460921 per year. I belong to the SC community and want to start a computer centre. I need around 424010 rupees.,Yes,460921,Business,computer centre,463155,424010,NA,NA,NA,NA
I belong to the SC category. I want an education loan for MCA. My annual family income is Rs 437982 and I need around 26.8 lakh.,Yes,437982,Education,NA,3826035,2678147,Postgraduate,MCA,technical,Yes
I am not an SC beneficiary. I want to start a small manufacturing and need 3.4 lakh.,No,466992,Business,small manufacturing,386898,336898,NA,NA,NA,NA
"I need a loan to study law. I am an SC student, my income is 151829 rupees, and the course fee is ₹1429451.",Yes,151829,Education,NA,1429451,1429451,Graduate,law,management,Yes
I belong to Scheduled Caste and want to start a small small manufacturing. My income is ₹443215 and the project will cost about 2.6 lakhs.,Yes,443215,Business,small manufacturing,262581,206714,NA,NA,NA,NA
I belong to the SC category. I want an education loan for engineering. My annual family income is 4.1 lakhs and I need around 14.8 lakhs.,Yes,411381,Education,NA,1963795,1479357,12th,engineering,technical,Yes
I belong to the SC category. I want an education loan for engineering. My annual family income is Rs 296364 and I need around 12.7 lakh.,Yes,296364,Education,NA,2393794,1266000,Graduate,engineering,technical,Yes
I do not belong to the SC category. My family income is 4.0 lakhs and I need a loan for a computer centre.,No,395442,Business,computer centre,113551,63551,NA,NA,NA,NA
I belong to the SC category. I want an education loan for medical. My annual family income is 4.2 lakhs and I need around 9.8 lakh.,Yes,416290,Education,NA,3539622,977370,Graduate,medical,technical,Yes
I am from SC category and want financial help for my fisheries. The total project cost is ₹505632 and I need Rs 430213 as loan. My annual income is ₹302667.,Yes,302667,Business,fisheries,505632,430213,NA,NA,NA,NA
I do not belong to the SC category. My family income is 378345 rupees and I need a loan for a fisheries.,No,378345,Business,fisheries,445118,395118,NA,NA,NA,NA
I am not from Scheduled Caste and want financial assistance for my transport.,No,154348,Business,transport,361410,311410,NA,NA,NA,NA
I am from SC category and want financial help for my tailoring. The total project cost is Rs 144326 and I need Rs 53420 as loan. My annual income is 350461 rupees.,Yes,350461,Business,tailoring,144326,53420,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BCA course. My family income is Rs 238710 and I require 21.9 lakhs.,Yes,238710,Education,NA,3046997,2190806,Postgraduate,BCA,professional,Yes
I am an SC beneficiary. My family income is Rs 499965. I want to start a food business business and need a loan of 384976 rupees.,Yes,499965,Business,food business,402932,384976,NA,NA,NA,NA
"My family earns ₹161898 per year. I am an SC beneficiary and want to pursue engineering, which is a management course. The fee is ₹1855611.",Yes,161898,Education,NA,1855611,1855611,Postgraduate,engineering,management,Yes
I am not an SC beneficiary. I want to start a repair shop and need Rs 225772.,No,492280,Business,repair shop,275772,225772,NA,NA,NA,NA
"My family earns ₹393323 per year. I am an SC beneficiary and want to pursue law, which is a management course. The fee is ₹2061161.",Yes,393323,Education,NA,2061161,1373073,Postgraduate,law,management,Yes
I belong to the SC category. I want an education loan for engineering. My annual family income is Rs 84373 and I need around 26.1 lakhs.,Yes,84373,Education,NA,2611894,2611894,Postgraduate,engineering,technical,Yes
I belong to Scheduled Caste and want to start a small repair shop. My income is 3.5 lakh and the project will cost about 2.4 lakh.,Yes,351158,Business,repair shop,244969,228197,NA,NA,NA,NA
I want to open a tailoring. I am an SC beneficiary and my yearly family income is 2.2 lakh. I require about 443214 rupees.,Yes,223044,Business,tailoring,539288,443214,NA,NA,NA,NA
"I need a loan to study medical. I am an SC student, my income is Rs 420530, and the course fee is Rs 2322781.",Yes,420530,Education,NA,2322781,890169,Graduate,medical,technical,Yes
I am an SC student and my family income is 3.0 lakh. I want to study MCA. My course fee is ₹1228348 and I need a loan of Rs 1228348.,Yes,299443,Education,NA,1228348,1228348,Postgraduate,MCA,management,Yes
"My family earns 3.7 lakh per year. I am an SC beneficiary and want to pursue MBA, which is a management course. The fee is 16.7 lakhs.",Yes,374362,Education,NA,1665837,543413,Postgraduate,MBA,management,Yes
My family earns around ₹407627 per year. I belong to the SC community and want to start a fisheries. I need around 1.1 lakhs.,Yes,407627,Business,fisheries,182745,112939,NA,NA,NA,NA
I want to open a repair shop. I am an SC beneficiary and my yearly family income is 270609 rupees. I require about ₹335436.,Yes,270609,Business,repair shop,367928,335436,NA,NA,NA,NA
I belong to the SC category. I want an education loan for MCA. My annual family income is ₹489867 and I need around ₹3529184.,Yes,489867,Education,NA,3571160,3529184,Postgraduate,MCA,medical,Yes
"My family earns Rs 142608 per year. I am an SC beneficiary and want to pursue MCA, which is a medical course. The fee is 563116 rupees.",Yes,142608,Education,NA,563116,152372,12th,MCA,medical,Yes
"I need a loan to study MCA. I am an SC student, my income is Rs 95904, and the course fee is ₹342817.",Yes,95904,Education,NA,342817,342817,Postgraduate,MCA,medical,Yes
I belong to Scheduled Caste and want to start a small grocery shop. My income is 2.3 lakhs and the project will cost about 4.1 lakh.,Yes,226862,Business,grocery shop,409880,352258,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹144049. I want to start a computer centre business and need a loan of 1.1 lakhs.,Yes,144049,Business,computer centre,131984,111594,NA,NA,NA,NA
I want to open a fisheries. I am an SC beneficiary and my yearly family income is 313918 rupees. I require about ₹90932.,Yes,313918,Business,fisheries,149336,90932,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a service business and need 2.0 lakhs.,No,321878,Business,service business,246920,196920,NA,NA,NA,NA
I want to open a repair shop. I am an SC beneficiary and my yearly family income is 1.6 lakhs. I require about 378838 rupees.,Yes,162193,Business,repair shop,474287,378838,NA,NA,NA,NA
I am an SC student and my family income is Rs 348013. I want to study nursing. My course fee is 26.2 lakh and I need a loan of ₹2624437.,Yes,348013,Education,NA,2624437,2624437,Postgraduate,nursing,management,Yes
I am an SC beneficiary. My family income is 2.9 lakhs. I want to start a small manufacturing business and need a loan of 2.9 lakh.,Yes,289377,Business,small manufacturing,380785,285222,NA,NA,NA,NA
I am from SC category and want financial help for my service business. The total project cost is 452783 rupees and I need ₹437407 as loan. My annual income is 370621 rupees.,Yes,370621,Business,service business,452783,437407,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is Rs 97425 and the project will cost about 3.0 lakhs.,Yes,97425,Business,computer centre,300882,287732,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my law course. My family income is 1.4 lakh and I require ₹606177.,Yes,139440,Education,NA,2981992,606177,12th,law,medical,Yes
I want to open a service business. I am an SC beneficiary and my yearly family income is 113154 rupees. I require about 4.5 lakh.,Yes,113154,Business,service business,533097,446341,NA,NA,NA,NA
I want to open a grocery shop. I am an SC beneficiary and my yearly family income is ₹494545. I require about Rs 256870.,Yes,494545,Business,grocery shop,268694,256870,NA,NA,NA,NA
I am an SC student and my family income is ₹430530. I want to study BTech. My course fee is ₹1628852 and I need a loan of ₹738303.,Yes,430530,Education,NA,1628852,738303,Graduate,BTech,medical,Yes
I am not an SC beneficiary. I want to start a grocery shop and need 372310 rupees.,No,169246,Business,grocery shop,422310,372310,NA,NA,NA,NA
I am an SC beneficiary. My family income is Rs 293515. I want to start a small manufacturing business and need a loan of 4.4 lakh.,Yes,293515,Business,small manufacturing,457335,441719,NA,NA,NA,NA
"I need a loan to study BCA. I am an SC student, my income is ₹281771, and the course fee is 27.7 lakh.",Yes,281771,Education,NA,2769809,1375231,12th,BCA,management,Yes
I am not an SC beneficiary. I want to start a tailoring and need ₹71985.,No,84175,Business,tailoring,121985,71985,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a small manufacturing and need 252966 rupees.,No,374635,Business,small manufacturing,302966,252966,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹256768 and I need a loan for a tailoring.,No,256768,Business,tailoring,394375,344375,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small small manufacturing. My income is 303011 rupees and the project will cost about ₹481863.,Yes,303011,Business,small manufacturing,481863,436827,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small computer centre. My income is 2.5 lakh and the project will cost about 392240 rupees.,Yes,250756,Business,computer centre,392240,345618,NA,NA,NA,NA
I am from SC category and want financial help for my transport. The total project cost is ₹411976 and I need Rs 341406 as loan. My annual income is 171694 rupees.,Yes,171694,Business,transport,411976,341406,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹477631. I want to start a computer centre business and need a loan of ₹162159.,Yes,477631,Business,computer centre,203645,162159,NA,NA,NA,NA
My family earns around ₹246135 per year. I belong to the SC community and want to start a computer centre. I need around Rs 392366.,Yes,246135,Business,computer centre,440554,392366,NA,NA,NA,NA
"My family earns 1.3 lakh per year. I am an SC beneficiary and want to pursue nursing, which is a technical course. The fee is 8.7 lakh.",Yes,134168,Education,NA,874913,874913,12th,nursing,technical,Yes
I do not belong to the SC category. My family income is 2.1 lakh and I need a loan for a repair shop.,No,211814,Business,repair shop,389256,339256,NA,NA,NA,NA
My family earns around 105943 rupees per year. I belong to the SC community and want to start a food business. I need around 3.0 lakhs.,Yes,105943,Business,food business,352325,304138,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my law course. My family income is 4.1 lakhs and I require 7.4 lakhs.,Yes,407475,Education,NA,738372,738372,12th,law,technical,Yes
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 2.7 lakh and I require ₹2177626.,Yes,267325,Education,NA,2177626,2177626,Postgraduate,nursing,management,Yes
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is 1.5 lakh and I require 26.9 lakh.,Yes,147371,Education,NA,2690786,2690786,Graduate,pharmacy,professional,Yes
"My family earns 1.8 lakhs per year. I am an SC beneficiary and want to pursue pharmacy, which is a management course. The fee is Rs 3994492.",Yes,182229,Education,NA,3994492,2870551,12th,pharmacy,management,Yes
I belong to Scheduled Caste and want to start a small repair shop. My income is 4.7 lakh and the project will cost about Rs 284642.,Yes,467893,Business,repair shop,284642,238217,NA,NA,NA,NA
I want to open a transport. I am an SC beneficiary and my yearly family income is Rs 121313. I require about 3.4 lakh.,Yes,121313,Business,transport,387855,339428,NA,NA,NA,NA
I want to open a repair shop. I am an SC beneficiary and my yearly family income is ₹350933. I require about ₹86352.,Yes,350933,Business,repair shop,157601,86352,NA,NA,NA,NA
I am an SC student and my family income is 4.3 lakh. I want to study MBA. My course fee is 13.9 lakhs and I need a loan of 13.9 lakhs.,Yes,432555,Education,NA,1386323,1386323,Postgraduate,MBA,professional,Yes
I am an SC beneficiary. My family income is 92711 rupees. I want to start a repair shop business and need a loan of 1.7 lakhs.,Yes,92711,Business,repair shop,263367,170588,NA,NA,NA,NA
"I need a loan to study BTech. I am an SC student, my income is ₹146839, and the course fee is 1991414 rupees.",Yes,146839,Education,NA,1991414,1991414,Graduate,BTech,technical,Yes
I am from Scheduled Caste and want financial assistance for my nursing course. My family income is 471416 rupees and I require 20.1 lakhs.,Yes,471416,Education,NA,2637498,2014361,12th,nursing,professional,Yes
I am from SC category and want financial help for my poultry. The total project cost is 5.0 lakh and I need ₹434431 as loan. My annual income is 4.0 lakh.,Yes,403871,Business,poultry,501064,434431,NA,NA,NA,NA
I am an SC beneficiary. My family income is 4.5 lakhs. I want to start a computer centre business and need a loan of 4.4 lakhs.,Yes,453227,Business,computer centre,518864,436305,NA,NA,NA,NA
My family earns around ₹251315 per year. I belong to the SC community and want to start a repair shop. I need around ₹159853.,Yes,251315,Business,repair shop,212152,159853,NA,NA,NA,NA
I am an SC beneficiary. My family income is 2.4 lakhs. I want to start a food business business and need a loan of ₹410701.,Yes,238696,Business,food business,498840,410701,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹226604 and I need a loan for a tailoring.,No,226604,Business,tailoring,441153,391153,NA,NA,NA,NA
My family earns around 2.8 lakhs per year. I belong to the SC community and want to start a repair shop. I need around 352814 rupees.,Yes,277517,Business,repair shop,392157,352814,NA,NA,NA,NA
"I need a loan to study pharmacy. I am an SC student, my income is 2.9 lakh, and the course fee is ₹3201775.",Yes,291899,Education,NA,3201775,2303640,12th,pharmacy,medical,Yes
I belong to the SC category. I want an education loan for MBA. My annual family income is Rs 425870 and I need around Rs 1049232.,Yes,425870,Education,NA,1049232,1049232,12th,MBA,management,Yes
I belong to Scheduled Caste and want to start a small service business. My income is Rs 128055 and the project will cost about ₹141607.,Yes,128055,Business,service business,141607,65712,NA,NA,NA,NA
I am an SC beneficiary. My family income is ₹311918. I want to start a grocery shop business and need a loan of 1.1 lakh.,Yes,311918,Business,grocery shop,191098,105898,NA,NA,NA,NA
"My family earns Rs 80609 per year. I am an SC beneficiary and want to pursue engineering, which is a technical course. The fee is Rs 552132.",Yes,80609,Education,NA,552132,552132,Graduate,engineering,technical,Yes
"I need a loan to study law. I am an SC student, my income is ₹331474, and the course fee is 2172608 rupees.",Yes,331474,Education,NA,2172608,614742,Postgraduate,law,technical,Yes
"My family earns 377495 rupees per year. I am an SC beneficiary and want to pursue MCA, which is a professional course. The fee is 39.5 lakh.",Yes,377495,Education,NA,3947493,3927775,12th,MCA,professional,Yes
I am an SC student and my family income is ₹142751. I want to study nursing. My course fee is ₹3358263 and I need a loan of Rs 2420727.,Yes,142751,Education,NA,3358263,2420727,Postgraduate,nursing,professional,Yes
I am from Scheduled Caste and want financial assistance for my MCA course. My family income is 2.9 lakhs and I require 6.3 lakh.,Yes,287549,Education,NA,2486846,627456,Postgraduate,MCA,technical,Yes
I belong to Scheduled Caste and want to start a small fisheries. My income is ₹99028 and the project will cost about 3.1 lakh.,Yes,99028,Business,fisheries,307771,249986,NA,NA,NA,NA
My family earns around 4.7 lakhs per year. I belong to the SC community and want to start a poultry. I need around ₹353744.,Yes,468524,Business,poultry,394281,353744,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my BCA course. My family income is Rs 305985 and I require 747881 rupees.,Yes,305985,Education,NA,1345700,747881,12th,BCA,medical,Yes
I am from SC category and want financial help for my tailoring. The total project cost is 2.7 lakh and I need 2.0 lakh as loan. My annual income is ₹106497.,Yes,106497,Business,tailoring,272377,197511,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small transport. My income is 437175 rupees and the project will cost about 140675 rupees.,Yes,437175,Business,transport,140675,107029,NA,NA,NA,NA
I am an SC beneficiary. My family income is 4.2 lakhs. I want to start a transport business and need a loan of 3.0 lakhs.,Yes,415717,Business,transport,305703,295239,NA,NA,NA,NA
I belong to Scheduled Caste and want to start a small grocery shop. My income is ₹156224 and the project will cost about 304820 rupees.,Yes,156224,Business,grocery shop,304820,251869,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a small manufacturing and need 3.7 lakh.,No,322477,Business,small manufacturing,424920,374920,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is ₹232762 and I require Rs 847495.,Yes,232762,Education,NA,3520698,847495,Postgraduate,engineering,medical,Yes
"I need a loan to study medical. I am an SC student, my income is ₹180036, and the course fee is 9.5 lakh.",Yes,180036,Education,NA,951250,951250,Graduate,medical,medical,Yes
"My family earns 301245 rupees per year. I am an SC beneficiary and want to pursue BCA, which is a management course. The fee is 2553143 rupees.",Yes,301245,Education,NA,2553143,411888,12th,BCA,management,Yes
"I need a loan to study law. I am an SC student, my income is ₹162184, and the course fee is 33.9 lakh.",Yes,162184,Education,NA,3394985,326796,Postgraduate,law,management,Yes
"I need a loan to study BTech. I am an SC student, my income is Rs 252506, and the course fee is 29.4 lakh.",Yes,252506,Education,NA,2935124,2935124,12th,BTech,technical,Yes
"I need a loan to study medical. I am an SC student, my income is 152664 rupees, and the course fee is 12.4 lakhs.",Yes,152664,Education,NA,1238482,914166,12th,medical,professional,Yes
I am from Scheduled Caste and want financial assistance for my law course. My family income is ₹263926 and I require 13.8 lakhs.,Yes,263926,Education,NA,1377765,1377765,Graduate,law,medical,Yes
"I need a loan to study BCA. I am an SC student, my income is Rs 452545, and the course fee is ₹645523.",Yes,452545,Education,NA,645523,645523,Graduate,BCA,management,Yes
I am an SC student and my family income is Rs 356727. I want to study BCA. My course fee is 396038 rupees and I need a loan of 396038 rupees.,Yes,356727,Education,NA,396038,396038,Graduate,BCA,professional,Yes
I am from SC category and want financial help for my tailoring. The total project cost is ₹188158 and I need 1.4 lakhs as loan. My annual income is 3.8 lakh.,Yes,384342,Business,tailoring,188158,144042,NA,NA,NA,NA
I belong to the SC category. I want an education loan for medical. My annual family income is Rs 94346 and I need around Rs 249276.,Yes,94346,Education,NA,249276,249276,Graduate,medical,medical,Yes
"I need a loan to study pharmacy. I am an SC student, my income is ₹452989, and the course fee is 30.9 lakh.",Yes,452989,Education,NA,3087892,3087892,Graduate,pharmacy,technical,Yes
I am from Scheduled Caste and want financial assistance for my engineering course. My family income is Rs 349247 and I require 996430 rupees.,Yes,349247,Education,NA,996430,996430,12th,engineering,management,Yes
I am from SC category and want financial help for my food business. The total project cost is Rs 406664 and I need 3.8 lakhs as loan. My annual income is 3.6 lakh.,Yes,363384,Business,food business,406664,383763,NA,NA,NA,NA
I belong to the SC category. I want an education loan for pharmacy. My annual family income is ₹99009 and I need around 5.6 lakhs.,Yes,99009,Education,NA,563740,563740,Graduate,pharmacy,medical,Yes
My family earns around 1.7 lakh per year. I belong to the SC community and want to start a service business. I need around 4.0 lakhs.,Yes,168857,Business,service business,418108,403382,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my MBA course. My family income is 1.8 lakhs and I require 9.1 lakh.,Yes,177616,Education,NA,914342,914342,12th,MBA,technical,Yes
I am an SC beneficiary. My family income is Rs 214129. I want to start a small manufacturing business and need a loan of 1.1 lakh.,Yes,214129,Business,small manufacturing,171622,114425,NA,NA,NA,NA
I am an SC student and my family income is Rs 157488. I want to study BCA. My course fee is 20.6 lakh and I need a loan of Rs 2036746.,Yes,157488,Education,NA,2061434,2036746,12th,BCA,professional,Yes
I belong to Scheduled Caste and want to start a small poultry. My income is 1.3 lakh and the project will cost about Rs 193045.,Yes,127766,Business,poultry,193045,134409,NA,NA,NA,NA
I am an SC beneficiary. My family income is 344912 rupees. I want to start a service business business and need a loan of 1.5 lakh.,Yes,344912,Business,service business,237654,150647,NA,NA,NA,NA
I do not belong to the SC category. My family income is ₹125442 and I need a loan for a poultry.,No,125442,Business,poultry,111870,61870,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a small manufacturing and need 4.0 lakh.,No,374240,Business,small manufacturing,446356,396356,NA,NA,NA,NA
I am from SC category and want financial help for my repair shop. The total project cost is 248080 rupees and I need Rs 169519 as loan. My annual income is 378793 rupees.,Yes,378793,Business,repair shop,248080,169519,NA,NA,NA,NA
I am an SC beneficiary. My family income is 3.5 lakhs. I want to start a grocery shop business and need a loan of ₹148997.,Yes,351862,Business,grocery shop,214433,148997,NA,NA,NA,NA
I do not belong to the SC category. My family income is 372746 rupees and I need a loan for a service business.,No,372746,Business,service business,272637,222637,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a grocery shop and need ₹300371.,No,84382,Business,grocery shop,350371,300371,NA,NA,NA,NA
I am an SC beneficiary. My family income is 1.7 lakhs. I want to start a poultry business and need a loan of 1.7 lakh.,Yes,174596,Business,poultry,240045,170367,NA,NA,NA,NA
I am not an SC beneficiary. I want to start a poultry and need ₹84401.,No,180445,Business,poultry,134401,84401,NA,NA,NA,NA
I am from Scheduled Caste and want financial assistance for my pharmacy course. My family income is ₹94441 and I require 32.8 lakh.,Yes,94441,Education,NA,3284116,3284116,Postgraduate,pharmacy,technical,Yes
